paper,productId,variant,size,finish,printing,binding,qty,price
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,1000,779.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,2000,1509.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,3000,2219.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,4000,2479.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,8000,4679.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,12000,7269.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Not Required,16000,9199.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),1000,879.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),2000,1709.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),3000,2519.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),4000,2879.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),8000,5479.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),12000,8069.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pad (10 x 100 letter heads),16000,9999.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),1000,879.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),2000,1709.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),3000,2519.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),4000,2879.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),8000,5479.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),12000,8069.0
70 GSM Maplitho,186,"Letter Head - 70 GSM, Maplitho Paper ( A4 Size )",A4,Plain,Single Side,Pockets (10 x 100 Letter Heads),16000,9999.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,1000,779.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,2000,1509.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,3000,2219.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,4000,2479.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,8000,4679.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,12000,7269.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,16000,9199.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),1000,879.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),2000,1709.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),3000,2519.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),4000,2879.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),8000,5479.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),12000,8069.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),16000,9999.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),1000,879.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),2000,1709.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),3000,2519.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),4000,2879.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),8000,5479.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),12000,8069.0
70 GSM Maplitho,369,"Letter Head - 70 GSM, Maplitho Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),16000,9999.0
90 GSM Sunshine,32,"Letter Head - 90 GSM, Sunshine Paper ( A4 Size )",A4,Plain,Single Side,Not Required,1000,1019.0
90 GSM Sunshine,32,"Letter Head - 90 GSM, Sunshine Paper ( A4 Size )",A4,Plain,Single Side,Not Required,2000,2039.0
90 GSM Sunshine,32,"Letter Head - 90 GSM, Sunshine Paper ( A4 Size )",A4,Plain,Single Side,Not Required,3000,2999.0
